ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
400204,0.2273283996213152,0.7703041453032023,Johnson [TX30],Democrat,moderate Democratic leader,13,219,289,625
400237,0.0,0.8326880611380925,Lee [CA13],Democrat,progressive Democratic leader,32,400,207,718
412525,0.9116369197614314,0.8838194305687113,Yoho,Republican,conservative Republican leader,16,131,157,224
412630,0.922893261212999,0.45559232456205195,Abraham,Republican,conservative Republican,3,77,35,39
412539,0.7065334494585727,0.6981852375535077,Brooks [IN5],Republican,moderate Republican leader,2,100,7,7
400618,0.43558291658665704,0.13447728037348947,Costa,Democrat,centrist Democratic follower,1,125,7,7
412444,0.8787978784245593,0.6317488115023888,Hartzler,Republican,conservative Republican,10,145,171,278
412623,0.9428070861338205,0.5881934892052393,Hice,Republican,conservative Republican,12,122,103,139
412673,0.7753901238758825,0.46842391076541595,Kelly [MS1],Republican,rank-and-file Republican,8,91,149,191
400263,0.1445337768808124,0.6464071791489023,McGovern,Democrat,progressive Democrat,21,518,153,238
412315,0.48188733139776063,0.6875986231854896,Schrader,Democrat,centrist Democrat,9,114,311,368
400417,0.36366991965168155,0.07352113029405344,Visclosky,Democrat,centrist Democratic follower,2,87,9,9
412259,0.19514223814720497,0.8806044813919895,Speier,Democrat,progressive Democratic leader,24,258,278,924
412404,0.1467951301714165,0.7978381630179372,Bass,Democrat,progressive Democratic leader,16,234,205,373
412657,0.2238130226215793,0.7501115669192151,Beyer,Democrat,rank-and-file Democrat,11,235,174,279
400033,0.2116589411189618,0.8422925296576289,Blumenauer,Democrat,moderate Democratic leader,33,376,340,745
412516,0.2984651326226524,0.7644601377570955,Brownley,Democrat,moderate Democratic leader,33,325,316,668
400097,0.23654810797209236,0.7967108449096022,Davis [CA53],Democrat,moderate Democratic leader,6,221,236,330
412505,0.3170650231397093,0.7384225238163111,DelBene,Democrat,rank-and-file Democrat,10,241,184,233
